created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls,No_retweets,No_favourites,Geo,Place
2021-11-12 11:01:35+00:00,1459114144234356736,These are the deadliest drugs rushed through with EUAs. Lying Psaki mentions Korvid was the leading cause of death… https://t.co/tFmtb0W63D,ChadBitcorn,Chad FauciLied MacBitcoin,Tue Oct 19 18:25:29 +0000 2021,"[{'url': 'https://t.co/tFmtb0W63D', 'expanded_url': 'https://twitter.com/i/web/status/1459114144234356736', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",0,1,,
2021-11-12 10:45:44+00:00,1459110155862294554,"RT @danniboi2011: Let’s get it 

#justsayno #freedom #covid1984 #medicalchoice #mybodymychoice #medicalfreedom #unitednoncompliance #donotc…",Usta_M_,U•N•A•T•H•I🤴🏾💙,Thu Feb 11 13:44:21 +0000 2021,[],1,0,,
2021-11-12 10:30:15+00:00,1459106258913533953,"RT @Andrew_2786: We need thousands more on this!
#NoVaccineMandates #FightBack #MedicalApartheid #MedicalFreedom #NHS 

Petition: Prohibit…",Annamka57,Anna,Wed Mar 04 22:36:03 +0000 2020,[],7,0,,
2021-11-12 09:53:27+00:00,1459096995755298817,https://t.co/9JbO8IXzHH .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/XN6xaShu40,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/9JbO8IXzHH', 'expanded_url': 'https://youtu.be/cKjv5gcMdOQ', 'display_url': 'youtu.be/cKjv5gcMdOQ', 'indices': [0, 23]}, {'url': 'https://t.co/XN6xaShu40', 'expanded_url': 'https://twitter.com/i/web/status/1459096995755298817', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-12 09:47:40+00:00,1459095540776407043,https://t.co/vIh4MASqZv .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/M5KVfccr5u,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/vIh4MASqZv', 'expanded_url': 'https://youtu.be/s9qe1747dHg', 'display_url': 'youtu.be/s9qe1747dHg', 'indices': [0, 23]}, {'url': 'https://t.co/M5KVfccr5u', 'expanded_url': 'https://twitter.com/i/web/status/1459095540776407043', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-12 09:44:56+00:00,1459094852218413060,https://t.co/QAHBOgfJ46 .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/istQES7XPf,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/QAHBOgfJ46', 'expanded_url': 'https://youtu.be/EMNwXBeEfFM', 'display_url': 'youtu.be/EMNwXBeEfFM', 'indices': [0, 23]}, {'url': 'https://t.co/istQES7XPf', 'expanded_url': 'https://twitter.com/i/web/status/1459094852218413060', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-12 09:44:12+00:00,1459094670709907459,It’s time to hit the streets of ground zero. Rise up and spread the word! #pdx #PortlandProtests #portlandoregon… https://t.co/WELLhVAbPm,Dre93993201,DreBaeintheUSA,Tue May 04 06:37:15 +0000 2021,"[{'url': 'https://t.co/WELLhVAbPm', 'expanded_url': 'https://twitter.com/i/web/status/1459094670709907459', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]",3,5,,
2021-11-12 09:38:15+00:00,1459093173989347330,https://t.co/LSQVcThLqX .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/XYGTagKrXd,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/LSQVcThLqX', 'expanded_url': 'https://youtu.be/nfZkiO3mKsk', 'display_url': 'youtu.be/nfZkiO3mKsk', 'indices': [0, 23]}, {'url': 'https://t.co/XYGTagKrXd', 'expanded_url': 'https://twitter.com/i/web/status/1459093173989347330', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-12 08:56:00+00:00,1459082538140327936,"Follow my telegram channel for latest news, research and opinions. #informedconsent #earlytreatment #medicalfreedom https://t.co/EW0k8VtKAC…",bewellaotearoa,Wellbeing Aotearoa,Fri Oct 08 05:05:20 +0000 2021,"[{'url': 'https://t.co/EW0k8VtKAC', 'expanded_url': 'http://t.me/wellbeingaotea', 'display_url': 't.me/wellbeingaotea', 'indices': [116, 139]}]",0,1,,
2021-11-12 07:56:52+00:00,1459067658926759938,Er hat Recht! Leave our kids alone! #medicalfreedom https://t.co/fuEDvq3jrM,BearnairdineBee,"""Unfiltered"" B 🐝 Beaumont 🌼",Sun May 11 12:18:50 +0000 2014,"[{'url': 'https://t.co/fuEDvq3jrM', 'expanded_url': 'https://twitter.com/rosenbusch_/status/1459059572761628672', 'display_url': 'twitter.com/rosenbusch_/st…', 'indices': [52, 75]}]",1,1,,
2021-11-12 07:40:36+00:00,1459063566263222272,https://t.co/0oQiCIHq6Y .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/c1Z0eZ7VuT,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/0oQiCIHq6Y', 'expanded_url': 'https://youtu.be/NP_yTdVUcz8', 'display_url': 'youtu.be/NP_yTdVUcz8', 'indices': [0, 23]}, {'url': 'https://t.co/c1Z0eZ7VuT', 'expanded_url': 'https://twitter.com/i/web/status/1459063566263222272', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-12 07:36:20+00:00,1459062491988725763,https://t.co/W87hv3qQa0 .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/CN1VbF5ane,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/W87hv3qQa0', 'expanded_url': 'https://youtu.be/OsuSjdB2yyo', 'display_url': 'youtu.be/OsuSjdB2yyo', 'indices': [0, 23]}, {'url': 'https://t.co/CN1VbF5ane', 'expanded_url': 'https://twitter.com/i/web/status/1459062491988725763', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-12 07:33:38+00:00,1459061812897271810,https://t.co/gf9Vgy5WbW .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/VXzLyIgKVi,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/gf9Vgy5WbW', 'expanded_url': 'https://youtu.be/SXudEKTBUAM', 'display_url': 'youtu.be/SXudEKTBUAM', 'indices': [0, 23]}, {'url': 'https://t.co/VXzLyIgKVi', 'expanded_url': 'https://twitter.com/i/web/status/1459061812897271810', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-12 07:30:39+00:00,1459061060686598144,https://t.co/j1neu7zwzv .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/tA6KzxvzlS,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/j1neu7zwzv', 'expanded_url': 'https://youtu.be/vgpca5VmQ48', 'display_url': 'youtu.be/vgpca5VmQ48', 'indices': [0, 23]}, {'url': 'https://t.co/tA6KzxvzlS', 'expanded_url': 'https://twitter.com/i/web/status/1459061060686598144', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-12 07:28:30+00:00,1459060520095518720,RT @RoscoeLonestar: Tens of thousands of #federal employees &amp; contractors are risking their careers to fight for their #ReligiousFreedom &amp;…,SocialDesignCr1,Social Design Creative,Wed Jul 29 09:41:38 +0000 2020,[],19,0,,
2021-11-12 07:24:30+00:00,1459059511218434048,https://t.co/d8djSbYnsU .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/ygzEwKhJ3v,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/d8djSbYnsU', 'expanded_url': 'https://youtu.be/eiVu45ZHD_M', 'display_url': 'youtu.be/eiVu45ZHD_M', 'indices': [0, 23]}, {'url': 'https://t.co/ygzEwKhJ3v', 'expanded_url': 'https://twitter.com/i/web/status/1459059511218434048', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-12 07:23:06+00:00,1459059159085854723,RT @RoscoeLonestar: Tens of thousands of #federal employees &amp; contractors are risking their careers to fight for their #ReligiousFreedom &amp;…,Sabertooth7,Yvonne,Fri Feb 26 06:10:20 +0000 2010,[],19,0,,
2021-11-12 07:15:12+00:00,1459057172717838340,They have a FUCKING CODE NOW for unvax??? WTF???Check out Amanda's video! #TikTok https://t.co/zVZPrZ2Nqz… https://t.co/1a7FpVwRi0,Theresa00386072,Thresa,Thu Sep 23 17:45:38 +0000 2021,"[{'url': 'https://t.co/zVZPrZ2Nqz', 'expanded_url': 'https://vm.tiktok.com/TTPd2R2Wqg/', 'display_url': 'vm.tiktok.com/TTPd2R2Wqg/', 'indices': [82, 105]}, {'url': 'https://t.co/1a7FpVwRi0', 'expanded_url': 'https://twitter.com/i/web/status/1459057172717838340', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]",0,0,,
2021-11-12 05:34:21+00:00,1459031793697492992,"RT @danniboi2011: Yesterday’s hero’s, today’s zeros.

#justsayno #freedom #covid1984 #medicalchoice #mybodymychoice #medicalfreedom #united…",DonnaTitze,Donna Titze,Sat Oct 03 15:37:02 +0000 2020,[],3,0,,
2021-11-12 04:00:56+00:00,1459008285210660869,"RT @BestOrthoDr: Multiple fractures in USA; airlifted to &amp; treated in India by me.

Some patients in USA will benefit significantly from or…",Manishdave04,M. Dave,Mon Sep 29 17:14:27 +0000 2014,[],6,0,,
2021-11-12 03:25:44+00:00,1458999427150987270,"Check out Ted4Bz's video! #TikTok https://t.co/WdOGgrX74K
#stewpeters
 #crapshootvaccine 
#MedicalFreedom… https://t.co/DwHT7b2fpI",Theresa00386072,Thresa,Thu Sep 23 17:45:38 +0000 2021,"[{'url': 'https://t.co/WdOGgrX74K', 'expanded_url': 'https://vm.tiktok.com/TTPd2dapVX/', 'display_url': 'vm.tiktok.com/TTPd2dapVX/', 'indices': [34, 57]}, {'url': 'https://t.co/DwHT7b2fpI', 'expanded_url': 'https://twitter.com/i/web/status/1458999427150987270', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]",0,0,,
2021-11-12 02:54:36+00:00,1458991590656118786,RT @SuePear85834959: Join Floridians from all over the state for a #SpecialSessionFL  #MedicalFreedom Rally on 11/16. We have busses and mi…,DeNeeCee,DeNeeCee,Sun Apr 05 23:44:27 +0000 2009,[],6,0,,
2021-11-12 02:51:49+00:00,1458990887774474241,"Please ask for full informed consent before injecting your children, cause the propaganda is strong
#MedicalFreedom… https://t.co/4dixJvjBzJ",Valerie70713897,Valerie B,Sat Jul 20 20:33:19 +0000 2019,"[{'url': 'https://t.co/4dixJvjBzJ', 'expanded_url': 'https://twitter.com/i/web/status/1458990887774474241', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",0,0,,
2021-11-12 02:28:51+00:00,1458985108141006848,#themaninthehighcastle #LetsGoBrandon #FJB #fuckjoebiden #MedicalFreedom #plandemic #scamdemic… https://t.co/2ykdjJU8rE,giddyupmikey,Mike Lemieux,Sun Mar 29 19:04:44 +0000 2009,"[{'url': 'https://t.co/2ykdjJU8rE', 'expanded_url': 'https://twitter.com/i/web/status/1458985108141006848', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [96, 119]}]",0,3,,
2021-11-12 02:22:53+00:00,1458983608840908804,"@kc_boyer This might be the most delusional thing I've read all day. 

There are plenty of buildings you can smoke… https://t.co/0BAd2fAw4j",DeniseMiller,Denise,Sat Sep 06 17:41:53 +0000 2008,"[{'url': 'https://t.co/0BAd2fAw4j', 'expanded_url': 'https://twitter.com/i/web/status/1458983608840908804', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",0,1,,
2021-11-12 01:48:45+00:00,1458975017614536706,@kelliemccown200 @kcranews Anti mandates #MedicalFreedom,Jsauce55916,Justin James Saucedo,Tue Dec 15 05:47:28 +0000 2015,[],0,2,,
2021-11-12 01:44:12+00:00,1458973871420231680,@kcranews Anti mandates #MedicalFreedom,Jsauce55916,Justin James Saucedo,Tue Dec 15 05:47:28 +0000 2015,[],0,12,,
2021-11-12 01:34:41+00:00,1458971478272065537,@ArizonaDOT the government overreach and coercion must stop.  You are discriminating against those who chose… https://t.co/Y3RHwrAwSc,bebrave1035,Eden Grace,Thu Jan 07 00:21:30 +0000 2021,"[{'url': 'https://t.co/Y3RHwrAwSc', 'expanded_url': 'https://twitter.com/i/web/status/1458971478272065537', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]",0,0,,
2021-11-12 00:52:52+00:00,1458960955845398528,RT @RoscoeLonestar: Tens of thousands of #federal employees &amp; contractors are risking their careers to fight for their #ReligiousFreedom &amp;…,Baloowiththebr1,BigHeartBaloo,Mon Jul 15 22:47:38 +0000 2019,[],19,0,,
2021-11-12 00:50:59+00:00,1458960480609918976,"RT @StandUpYGK: Join the convoy from Peterborough to Kingston next weekend! @Stand4Thee @thelinecanada 

#StandUp4HumanRights #MedicalFreed…",BKHARRIS12,BRAD K HARRIS,Sun Aug 29 17:34:24 +0000 2021,[],5,0,,
2021-11-12 00:48:12+00:00,1458959780450553862,"RT @StandUpYGK: Join the convoy from Peterborough to Kingston next weekend! @Stand4Thee @thelinecanada 

#StandUp4HumanRights #MedicalFreed…",StandUpYGK,StandUpYGK,Sat Oct 02 03:03:18 +0000 2021,[],5,0,,
2021-11-12 00:13:57+00:00,1458951162414223364,#WakeUpAmerica  #DoNotComply #NoMandates #MedicalFreedom https://t.co/GBttwxpiu5,lisamichelle021,lisamichelle021,Fri Aug 31 20:32:23 +0000 2018,"[{'url': 'https://t.co/GBttwxpiu5', 'expanded_url': 'https://twitter.com/red_pill_led/status/1458936881505132548', 'display_url': 'twitter.com/red_pill_led/s…', 'indices': [57, 80]}]",0,0,,
2021-11-12 00:11:59+00:00,1458950667419017216,@POTUS @KamalaHarris @SpeakerPelosi @AOC  🇺🇸🇺🇸🇺🇸#Freedom #StoptheMandates #vaccinemandates #choice #medicalfreedom… https://t.co/KR47TCRUQP,JessicaGoings,Jessica Goings,Thu Apr 23 18:31:49 +0000 2009,"[{'url': 'https://t.co/KR47TCRUQP', 'expanded_url': 'https://twitter.com/i/web/status/1458950667419017216', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",0,5,,"Place(_api=<tweepy.api.API object at 0x000001D1FD7C22E0>, id='737fcb9daae404ac', url='https://api.twitter.com/1.1/geo/id/737fcb9daae404ac.json', place_type='city', name='Boise', full_name='Boise, ID', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x000001D1FD7C22E0>, type='Polygon', coordinates=[[[-116.374494, 43.510172], [-116.101508, 43.510172], [-116.101508, 43.685894], [-116.374494, 43.685894]]]), attributes={})"
2021-11-11 23:59:53+00:00,1458947622996262922,"Rights come with responsibilities. If you choose to ""exercise"" your ""right"" not to get #vaxxed, you should be on th… https://t.co/lNHDucvgCX",proudnastywoman,(Proud Nasty Woman),Thu Apr 24 15:30:22 +0000 2008,"[{'url': 'https://t.co/lNHDucvgCX', 'expanded_url': 'https://twitter.com/i/web/status/1458947622996262922', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",0,0,,
2021-11-11 23:31:37+00:00,1458940508491980800,"@lukebryan Carrie Underwood's look....speaks for us all! BTW, covid vaccines are ineffective and unsafe.  
@VAERS 7… https://t.co/LT0f4Q6r0G",SHAW1131763220,SHAW11,Fri Feb 19 13:03:50 +0000 2021,"[{'url': 'https://t.co/LT0f4Q6r0G', 'expanded_url': 'https://twitter.com/i/web/status/1458940508491980800', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",0,0,,
2021-11-11 23:18:23+00:00,1458937177723871243,@dmac88 Segregation of Canada on our day of Freedom Rememberance.. anyone open their eyes today that weren’t before… https://t.co/1pmgGE4suD,SoBadZangief,LC,Thu Aug 20 23:53:51 +0000 2009,"[{'url': 'https://t.co/1pmgGE4suD', 'expanded_url': 'https://twitter.com/i/web/status/1458937177723871243', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",0,2,,
2021-11-11 22:51:32+00:00,1458930418799898637,"RT @Fishinapot: #vaccinedamage
#vaccinedeath
#antivax
#antimask
#FreedomInternet
#MedicalFreedom
#NoVaccineMandates
#NoVaccinePassports
#th…",Fishinapot,News Desk,Wed Oct 28 16:38:33 +0000 2009,[],1,0,,
2021-11-11 22:38:23+00:00,1458927110320390151,RT @Scarboroughshow: She threw up. We've been fighting this for months because they won't do anything that's not 100% necessary. It's not j…,gwenlmckee,"Gwen ICU RN, BSN, CCRN, PCCN 🇺🇸❤️🇺🇸",Sat Nov 12 09:55:38 +0000 2016,[],1,0,,
2021-11-11 22:30:04+00:00,1458925019854041099,https://t.co/VFzuzCZBzG .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/J6AM4t03To,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/VFzuzCZBzG', 'expanded_url': 'https://youtu.be/pJuJaHV_OPM', 'display_url': 'youtu.be/pJuJaHV_OPM', 'indices': [0, 23]}, {'url': 'https://t.co/J6AM4t03To', 'expanded_url': 'https://twitter.com/i/web/status/1458925019854041099', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-11 22:27:39+00:00,1458924410811781120,https://t.co/ERrw3M4miM .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/Z1oR2i8UZP,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/ERrw3M4miM', 'expanded_url': 'https://youtu.be/tGpEucgt3K8', 'display_url': 'youtu.be/tGpEucgt3K8', 'indices': [0, 23]}, {'url': 'https://t.co/Z1oR2i8UZP', 'expanded_url': 'https://twitter.com/i/web/status/1458924410811781120', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-11 21:52:39+00:00,1458915601527685124,https://t.co/eRLhsaYd5x .#COVID #DELTA #GetVaccinated #antimask #antivaxxers #invermectin #coronavirus… https://t.co/vNL2NswSJ9,upshotme,"Sam: Thinking Human,1st. Bio-Man, 2nd. Gay, Last.",Tue Oct 14 08:46:30 +0000 2014,"[{'url': 'https://t.co/eRLhsaYd5x', 'expanded_url': 'https://youtu.be/ObTAOvgd_JE', 'display_url': 'youtu.be/ObTAOvgd_JE', 'indices': [0, 23]}, {'url': 'https://t.co/vNL2NswSJ9', 'expanded_url': 'https://twitter.com/i/web/status/1458915601527685124', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]",0,0,,
2021-11-11 20:33:59+00:00,1458895804740116485,"SKIP the #censorship, #factcheckers, deletions, and shutdowns &amp; join us at https://t.co/mt4ML54eZW 🇺🇸🇺🇸🇺🇸… https://t.co/dqbno8Cx23",Sudney22,Florida Republican,Sat May 25 23:00:23 +0000 2013,"[{'url': 'https://t.co/mt4ML54eZW', 'expanded_url': 'http://www.TFN.media', 'display_url': 'TFN.media', 'indices': [79, 102]}, {'url': 'https://t.co/dqbno8Cx23', 'expanded_url': 'https://twitter.com/i/web/status/1458895804740116485', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [111, 134]}]",0,0,,
